utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,84.010,0.0476,0.0357,0.0000,562,651
LJ028-0353,42.572,0.1818,0.0808,0.0909,773,755
LJ049-0174,48.100,0.1667,0.0000,0.1667,697,672
LJ050-0184,38.429,0.0000,0.0000,0.0000,308,283
LJ017-0065,35.457,0.1250,0.1333,0.0625,506,475
LJ009-0246,67.915,0.0000,0.0000,0.0000,362,409
LJ016-0037,62.535,0.0000,0.0000,0.0000,652,670
LJ010-0315,56.499,0.0000,0.0000,0.0000,456,492
LJ003-0136,67.617,0.0952,0.0220,0.0000,715,801
LJ041-0179,43.604,0.0400,0.0259,0.0400,790,774
LJ016-0121,50.221,0.0400,0.0297,0.0800,718,703
LJ025-0082,57.245,0.1176,0.0375,0.0000,559,532
LJ003-0126,68.228,0.0000,0.0000,0.0000,466,498
LJ028-0183,64.342,0.0625,0.0308,0.0625,511,521
LJ017-0149,71.207,0.2105,0.0641,0.2105,590,595
LJ042-0110,67.822,0.2143,0.0938,0.2143,512,568
LJ009-0027,36.776,0.0000,0.0000,0.0000,141,130
LJ032-0201,58.248,0.0000,0.0000,0.0000,479,483
LJ007-0091,29.438,0.0556,0.0274,0.0556,528,482
LJ049-0039,34.948,0.0000,0.0000,0.0000,518,500
LJ019-0138,37.875,0.0000,0.0000,0.0000,776,703
LJ002-0260,63.895,0.0000,0.0000,0.0000,419,427
LJ009-0077,31.726,0.1667,0.0000,0.0000,491,432
LJ013-0028,64.189,0.0000,0.0000,0.0000,701,747
LJ034-0166,31.424,0.1053,0.0667,0.0000,611,557
LJ005-0116,47.871,0.1000,0.0638,0.0000,349,340
LJ010-0097,40.101,0.0476,0.0198,0.0000,771,735
LJ030-0146,56.790,0.2105,0.0638,0.2105,700,678
LJ037-0014,34.941,0.0769,0.0469,0.0769,437,423
LJ005-0131,41.706,0.0000,0.0000,0.0000,843,772
LJ004-0017,82.664,0.0714,0.0175,0.0714,436,442
LJ010-0147,77.662,0.2500,0.0426,0.2000,717,798
LJ021-0142,68.140,0.0000,0.0000,0.0000,327,390
LJ041-0097,86.484,0.1667,0.1562,0.1667,256,276
LJ028-0489,49.037,0.0714,0.0238,0.0357,825,825
LJ045-0082,33.663,0.0500,0.0104,0.0000,668,612
LJ009-0069,64.434,0.0000,0.0000,0.0000,529,535
LJ018-0328,43.608,0.0000,0.0000,0.0000,480,462
LJ001-0095,43.564,0.2727,0.0833,0.0000,368,361
LJ005-0037,62.719,0.0000,0.0000,0.0000,292,292
LJ031-0080,41.270,0.0833,0.0000,0.0833,816,746
LJ002-0132,66.401,0.0435,0.0090,0.0000,751,795
LJ042-0026,80.719,0.0000,0.0000,0.0000,797,845
LJ032-0209,34.947,0.0370,0.0075,0.0370,982,851
LJ028-0171,72.234,0.0556,0.0164,0.0000,486,523
LJ012-0077,65.427,0.1429,0.0328,0.0714,414,429
LJ041-0066,30.939,0.1818,0.0500,0.1818,417,354
LJ014-0322,69.894,0.1333,0.0290,0.0667,441,483
LJ015-0265,53.969,0.0000,0.0000,0.0000,115,137
LJ019-0286,71.640,0.1333,0.0429,0.0000,468,485
LJ029-0105,46.388,0.1304,0.0496,0.0435,786,762
LJ017-0100,51.780,0.0000,0.0000,0.0909,326,322
LJ040-0128,73.368,0.3846,0.0656,0.3077,444,493
LJ004-0164,38.831,0.0000,0.0000,0.0000,729,685
LJ034-0151,30.279,0.2857,0.0000,0.2857,222,203
LJ016-0002,37.990,0.0000,0.0000,0.0000,512,469
LJ003-0231,66.543,0.2143,0.0606,0.5000,475,497
LJ036-0092,57.329,0.2500,0.1739,0.4167,373,413
LJ031-0194,27.012,0.8333,0.0000,0.8333,295,259
LJ006-0040,70.537,0.0870,0.0360,0.0435,747,765
LJ042-0186,38.272,0.0714,0.0133,0.0714,501,491
LJ037-0242,42.937,0.1333,0.0444,0.2000,675,627
LJ005-0004,37.091,0.0714,0.0364,0.0000,375,342
LJ028-0376,75.475,0.0000,0.0000,0.0000,718,753
LJ033-0113,37.534,0.1818,0.0000,0.1818,329,320
LJ042-0057,65.925,0.0000,0.0000,0.0000,749,736
LJ004-0188,31.085,0.0000,0.0000,0.0833,431,349
LJ014-0333,37.286,0.0000,0.0000,0.0000,838,759
LJ029-0198,41.753,0.1111,0.0381,0.0556,708,652
LJ030-0253,44.658,0.0000,0.0000,0.0000,490,441
LJ002-0054,53.416,0.0000,0.0000,0.0000,676,664
LJ007-0149,30.270,0.0000,0.0000,0.0000,165,143
LJ045-0138,31.642,0.0000,0.0000,0.0000,643,570
LJ011-0092,42.932,0.0000,0.0000,0.0000,886,843
LJ006-0078,66.725,0.1538,0.0000,0.1538,501,512
LJ009-0147,46.129,0.0000,0.0000,0.0000,656,639
LJ028-0337,83.614,0.2000,0.1026,0.0667,547,592
LJ038-0210,71.639,0.0000,0.0000,0.0476,599,628
LJ029-0157,33.154,0.2500,0.0315,0.2917,853,793
LJ039-0026,37.395,0.1613,0.0714,0.0968,844,798
LJ040-0189,81.501,0.1250,0.0337,0.1875,657,693
LJ019-0136,40.581,0.0800,0.0305,0.0000,884,828
LJ002-0074,45.266,0.0400,0.0410,0.0400,867,840
LJ050-0102,74.683,0.6000,0.2167,0.4000,432,517
LJ002-0320,40.182,0.0556,0.0114,0.0000,588,562
LJ002-0100,51.810,0.0000,0.0000,0.0000,480,471
LJ014-0115,31.450,0.0000,0.0000,0.0000,243,219
LJ019-0276,44.333,0.0909,0.0536,0.0000,414,404
LJ048-0255,39.423,0.0435,0.0156,0.0435,863,816
LJ006-0195,34.176,0.1071,0.0308,0.0714,875,799
LJ005-0257,29.851,0.0000,0.0000,0.0000,595,543
LJ044-0042,62.890,0.0000,0.0000,0.0000,177,187
LJ042-0127,37.482,0.4167,0.0484,0.4167,503,495
LJ003-0050,60.832,0.7500,0.1429,0.0000,147,211
LJ036-0145,57.213,0.2857,0.0541,0.1429,275,297
LJ006-0068,66.362,0.0000,0.0000,0.0000,808,845
LJ001-0123,50.695,0.1538,0.0800,0.0769,326,317
LJ007-0189,32.109,0.0476,0.0102,0.0000,676,578
LJ027-0142,70.519,0.1000,0.0198,0.0000,733,755
LJ049-0158,43.647,0.2500,0.0083,0.2500,822,783
