utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,80.313,0.0476,0.0357,0.0000,548,651
LJ028-0353,47.047,0.1818,0.0909,0.0909,765,755
LJ049-0174,50.640,0.1667,0.0104,0.1667,681,672
LJ050-0184,41.666,0.0000,0.0000,0.0000,292,283
LJ017-0065,40.838,0.1250,0.1000,0.0625,482,475
LJ009-0246,64.233,0.0000,0.0000,0.0000,351,409
LJ016-0037,65.901,0.0000,0.0000,0.0000,639,670
LJ010-0315,53.664,0.0000,0.0000,0.0000,449,492
LJ003-0136,71.486,0.0000,0.0000,0.0000,691,801
LJ041-0179,43.212,0.0400,0.0086,0.0400,785,774
LJ016-0121,67.043,0.0400,0.0297,0.0800,687,703
LJ025-0082,58.012,0.1176,0.0500,0.0000,552,532
LJ003-0126,66.868,0.0000,0.0000,0.0000,452,498
LJ028-0183,73.223,0.0625,0.0308,0.0625,494,521
LJ017-0149,74.440,0.2105,0.0513,0.2105,567,595
LJ042-0110,73.475,0.2143,0.0938,0.2143,501,568
LJ009-0027,41.000,0.5000,0.0000,0.0000,132,130
LJ032-0201,59.579,0.0769,0.0469,0.0000,471,483
LJ007-0091,33.208,0.0556,0.0274,0.0556,515,482
LJ049-0039,49.103,0.0667,0.0132,0.0000,504,500
LJ019-0138,35.892,0.0000,0.0000,0.0000,763,703
LJ002-0260,57.272,0.0000,0.0000,0.0000,398,427
LJ009-0077,33.087,0.0000,0.0000,0.0000,483,432
LJ013-0028,73.714,0.0000,0.0000,0.0000,685,747
LJ034-0166,30.504,0.0526,0.0111,0.0000,605,557
LJ005-0116,53.166,0.0000,0.0000,0.0000,341,340
LJ010-0097,45.708,0.0000,0.0000,0.0000,755,735
LJ030-0146,58.906,0.1579,0.0106,0.2105,688,678
LJ037-0014,35.719,0.0769,0.0156,0.0769,422,423
LJ005-0131,44.479,0.0000,0.0000,0.0000,825,772
LJ004-0017,86.162,0.0714,0.0351,0.0714,421,442
LJ010-0147,76.244,0.2000,0.0213,0.2000,710,798
LJ021-0142,70.108,0.0000,0.0000,0.0000,320,390
LJ041-0097,85.411,0.3333,0.2188,0.1667,256,276
LJ028-0489,77.758,0.0357,0.0079,0.0357,792,825
LJ045-0082,36.209,0.0000,0.0000,0.0000,657,612
LJ009-0069,80.132,0.0000,0.0000,0.0000,514,535
LJ018-0328,50.884,0.0000,0.0000,0.0000,468,462
LJ001-0095,49.046,0.0909,0.0208,0.0000,356,361
LJ005-0037,69.840,0.0000,0.0000,0.0000,287,292
LJ031-0080,42.397,0.1250,0.0091,0.0833,802,746
LJ002-0132,69.476,0.0000,0.0000,0.0000,745,795
LJ042-0026,80.314,0.0000,0.0000,0.0000,786,845
LJ032-0209,35.207,0.0370,0.0075,0.0370,968,851
LJ028-0171,78.177,0.0556,0.0164,0.0000,470,523
LJ012-0077,63.977,0.0000,0.0000,0.0714,412,429
LJ041-0066,30.528,0.1818,0.0833,0.1818,410,354
LJ014-0322,70.980,0.1333,0.0290,0.0667,434,483
LJ015-0265,63.890,0.5000,0.1250,0.0000,107,137
LJ019-0286,65.635,0.0667,0.0286,0.0000,448,485
LJ029-0105,56.402,0.1739,0.0661,0.0435,768,762
LJ017-0100,52.053,0.0000,0.0000,0.0909,327,322
LJ040-0128,74.299,0.3077,0.0656,0.3077,443,493
LJ004-0164,40.067,0.0000,0.0000,0.0000,708,685
LJ034-0151,28.441,0.2857,0.0000,0.2857,221,203
LJ016-0002,38.692,0.0000,0.0000,0.0000,498,469
LJ003-0231,59.958,0.4286,0.1061,0.5000,469,497
LJ036-0092,68.564,0.2500,0.1739,0.4167,359,413
LJ031-0194,25.898,0.8333,0.0000,0.8333,296,259
LJ006-0040,69.002,0.0000,0.0000,0.0435,746,765
LJ042-0186,76.783,0.0714,0.0133,0.0714,485,491
LJ037-0242,43.800,0.0667,0.0333,0.2000,676,627
LJ005-0004,43.722,0.0000,0.0000,0.0000,351,342
LJ028-0376,76.718,0.0000,0.0000,0.0000,708,753
LJ033-0113,38.822,0.1818,0.0000,0.1818,320,320
LJ042-0057,78.630,0.0769,0.0213,0.0000,725,736
LJ004-0188,30.276,0.0000,0.0000,0.0833,420,349
LJ014-0333,40.398,0.0000,0.0000,0.0000,826,759
LJ029-0198,38.599,0.0556,0.0190,0.0556,696,652
LJ030-0253,39.451,0.0000,0.0000,0.0000,489,441
LJ002-0054,55.190,0.0000,0.0000,0.0000,672,664
LJ007-0149,30.809,0.0000,0.0000,0.0000,157,143
LJ045-0138,33.121,0.0000,0.0000,0.0000,638,570
LJ011-0092,44.837,0.0000,0.0000,0.0000,880,843
LJ006-0078,66.095,0.1538,0.0000,0.1538,480,512
LJ009-0147,47.469,0.0000,0.0000,0.0000,639,639
LJ028-0337,76.634,0.2667,0.1026,0.0667,527,592
LJ038-0210,74.097,0.0000,0.0000,0.0476,591,628
LJ029-0157,33.485,0.3333,0.0472,0.2917,822,793
LJ039-0026,35.988,0.1613,0.0635,0.0968,837,798
LJ040-0189,81.813,0.1875,0.0337,0.1875,643,693
LJ019-0136,39.382,0.0400,0.0153,0.0000,875,828
LJ002-0074,40.003,0.0800,0.0574,0.0400,849,840
LJ050-0102,72.487,0.6000,0.1333,0.4000,422,517
LJ002-0320,41.795,0.0000,0.0000,0.0000,574,562
LJ002-0100,55.578,0.0000,0.0000,0.0000,470,471
LJ014-0115,32.217,0.0000,0.0000,0.0000,240,219
LJ019-0276,47.122,0.0000,0.0000,0.0000,415,404
LJ048-0255,38.613,0.0870,0.0234,0.0435,843,816
LJ006-0195,35.277,0.1071,0.0077,0.0714,863,799
LJ005-0257,35.928,0.0000,0.0000,0.0000,571,543
LJ044-0042,60.237,0.1429,0.1111,0.0000,174,187
LJ042-0127,63.576,0.5000,0.0645,0.4167,481,495
LJ003-0050,53.987,0.7500,0.1429,0.0000,147,211
LJ036-0145,56.310,0.4286,0.1081,0.1429,267,297
LJ006-0068,59.699,0.0000,0.0000,0.0000,785,845
LJ001-0123,52.126,0.2308,0.1800,0.0769,317,317
LJ007-0189,31.560,0.0000,0.0000,0.0000,666,578
LJ027-0142,72.031,0.0500,0.0099,0.0000,723,755
LJ049-0158,43.293,0.2500,0.0167,0.2500,810,783
