utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,85.231,0.0476,0.0357,0.0000,558,651
LJ028-0353,47.226,0.1364,0.0808,0.0909,758,755
LJ049-0174,45.687,0.2222,0.0208,0.1667,699,672
LJ050-0184,44.790,0.0000,0.0000,0.0000,292,283
LJ017-0065,43.322,0.1250,0.1333,0.0625,490,475
LJ009-0246,64.765,0.0000,0.0000,0.0000,361,409
LJ016-0037,76.003,0.0000,0.0000,0.0000,622,670
LJ010-0315,54.895,0.0000,0.0000,0.0000,447,492
LJ003-0136,71.066,0.0000,0.0000,0.0000,702,801
LJ041-0179,79.848,0.0000,0.0000,0.0400,760,774
LJ016-0121,63.132,0.0800,0.0396,0.0800,698,703
LJ025-0082,59.395,0.0588,0.0125,0.0000,542,532
LJ003-0126,69.142,0.0000,0.0000,0.0000,462,498
LJ028-0183,70.232,0.0625,0.0308,0.0625,495,521
LJ017-0149,79.291,0.1053,0.0000,0.2105,578,595
LJ042-0110,73.454,0.4286,0.2188,0.2143,498,568
LJ009-0027,38.779,0.0000,0.0000,0.0000,143,130
LJ032-0201,62.982,0.0000,0.0000,0.0000,446,483
LJ007-0091,36.861,0.0556,0.0274,0.0556,512,482
LJ049-0039,36.906,0.0667,0.0132,0.0000,516,500
LJ019-0138,36.953,0.0000,0.0000,0.0000,779,703
LJ002-0260,52.764,0.0000,0.0000,0.0000,426,427
LJ009-0077,32.801,0.0000,0.0000,0.0000,493,432
LJ013-0028,73.783,0.0000,0.0000,0.0000,690,747
LJ034-0166,33.086,0.0526,0.0111,0.0000,605,557
LJ005-0116,37.590,0.1000,0.0213,0.0000,374,340
LJ010-0097,44.515,0.0000,0.0000,0.0000,753,735
LJ030-0146,60.776,0.2105,0.0213,0.2105,686,678
LJ037-0014,33.177,0.0769,0.0312,0.0769,435,423
LJ005-0131,47.937,0.0000,0.0000,0.0000,827,772
LJ004-0017,84.690,0.0714,0.0702,0.0714,428,442
LJ010-0147,79.478,0.2500,0.0745,0.2000,728,798
LJ021-0142,75.135,0.0000,0.0000,0.0000,311,390
LJ041-0097,53.031,0.1667,0.1562,0.1667,266,276
LJ028-0489,85.825,0.0714,0.0238,0.0357,782,825
LJ045-0082,38.703,0.0000,0.0000,0.0000,648,612
LJ009-0069,89.075,0.0000,0.0000,0.0000,510,535
LJ018-0328,53.436,0.0000,0.0000,0.0000,470,462
LJ001-0095,54.606,0.2727,0.0625,0.0000,347,361
LJ005-0037,53.604,0.0000,0.0000,0.0000,298,292
LJ031-0080,47.332,0.0833,0.0000,0.0833,781,746
LJ002-0132,78.785,0.0000,0.0000,0.0000,758,795
LJ042-0026,83.217,0.0000,0.0000,0.0000,778,845
LJ032-0209,35.121,0.1481,0.0522,0.0370,956,851
LJ028-0171,78.725,0.0000,0.0000,0.0000,483,523
LJ012-0077,62.646,0.2143,0.1148,0.0714,399,429
LJ041-0066,32.904,0.1818,0.1000,0.1818,401,354
LJ014-0322,74.015,0.0667,0.0145,0.0667,440,483
LJ015-0265,65.654,0.0000,0.0000,0.0000,109,137
LJ019-0286,79.929,0.0000,0.0000,0.0000,447,485
LJ029-0105,72.031,0.1739,0.0496,0.0435,746,762
LJ017-0100,35.042,0.0000,0.0000,0.0909,346,322
LJ040-0128,72.904,0.3077,0.0656,0.3077,437,493
LJ004-0164,47.110,0.0000,0.0000,0.0000,728,685
LJ034-0151,28.815,0.2857,0.0000,0.2857,218,203
LJ016-0002,43.881,0.0000,0.0000,0.0000,502,469
LJ003-0231,76.993,0.5000,0.1061,0.5000,464,497
LJ036-0092,70.936,0.3333,0.2391,0.4167,358,413
LJ031-0194,28.277,0.8333,0.0000,0.8333,293,259
LJ006-0040,75.466,0.0000,0.0000,0.0435,733,765
LJ042-0186,81.242,0.0714,0.0133,0.0714,479,491
LJ037-0242,42.367,0.1333,0.0556,0.2000,676,627
LJ005-0004,40.296,0.0000,0.0000,0.0000,374,342
LJ028-0376,80.650,0.0000,0.0000,0.0000,712,753
LJ033-0113,46.497,0.2727,0.0400,0.1818,313,320
LJ042-0057,82.481,0.0385,0.0426,0.0000,710,736
LJ004-0188,32.055,0.0000,0.0000,0.0833,419,349
LJ014-0333,39.977,0.0000,0.0000,0.0000,829,759
LJ029-0198,51.125,0.1667,0.0381,0.0556,677,652
LJ030-0253,45.433,0.0000,0.0000,0.0000,484,441
LJ002-0054,61.824,0.0000,0.0000,0.0000,651,664
LJ007-0149,33.356,0.0000,0.0000,0.0000,158,143
LJ045-0138,32.075,0.0000,0.0000,0.0000,661,570
LJ011-0092,43.462,0.0000,0.0000,0.0000,876,843
LJ006-0078,64.087,0.1538,0.0000,0.1538,492,512
LJ009-0147,46.344,0.0476,0.0319,0.0000,647,639
LJ028-0337,86.387,0.2000,0.0641,0.0667,541,592
LJ038-0210,71.347,0.0476,0.0225,0.0476,585,628
LJ029-0157,35.604,0.3333,0.0709,0.2917,832,793
LJ039-0026,38.268,0.0968,0.0556,0.0968,833,798
LJ040-0189,86.257,0.1875,0.0337,0.1875,628,693
LJ019-0136,42.496,0.0400,0.0076,0.0000,872,828
