utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,82.151,0.0476,0.0357,0.0000,556,651
LJ028-0353,46.841,0.1364,0.0707,0.0909,760,755
LJ049-0174,50.959,0.1667,0.0312,0.1667,686,672
LJ050-0184,44.987,0.0000,0.0000,0.0000,292,283
LJ017-0065,39.669,0.1250,0.1000,0.0625,488,475
LJ009-0246,66.631,0.0000,0.0000,0.0000,348,409
LJ016-0037,67.104,0.0000,0.0000,0.0000,649,670
LJ010-0315,61.258,0.0000,0.0000,0.0000,445,492
LJ003-0136,69.988,0.0000,0.0000,0.0000,691,801
LJ041-0179,42.791,0.0000,0.0000,0.0400,790,774
LJ016-0121,64.079,0.0800,0.0297,0.0800,700,703
LJ025-0082,56.406,0.0588,0.0125,0.0000,547,532
LJ003-0126,68.350,0.0000,0.0000,0.0000,457,498
LJ028-0183,67.713,0.0625,0.0308,0.0625,507,521
LJ017-0149,72.167,0.2105,0.0641,0.2105,575,595
LJ042-0110,72.008,0.2857,0.1406,0.2143,509,568
LJ009-0027,42.805,0.0000,0.0000,0.0000,134,130
LJ032-0201,65.270,0.0000,0.0000,0.0000,470,483
LJ007-0091,32.824,0.0556,0.0274,0.0556,522,482
LJ049-0039,40.477,0.0000,0.0000,0.0000,513,500
LJ019-0138,36.549,0.0435,0.0294,0.0000,773,703
LJ002-0260,58.570,0.0000,0.0000,0.0000,405,427
LJ009-0077,35.082,0.0000,0.0000,0.0000,478,432
LJ013-0028,71.622,0.0455,0.0114,0.0000,681,747
LJ034-0166,31.527,0.0526,0.0222,0.0000,599,557
LJ005-0116,73.382,0.1000,0.0213,0.0000,336,340
LJ010-0097,50.104,0.0476,0.0099,0.0000,740,735
LJ030-0146,54.383,0.2105,0.0319,0.2105,689,678
LJ037-0014,33.909,0.0769,0.0312,0.0769,434,423
LJ005-0131,41.366,0.0000,0.0000,0.0000,840,772
LJ004-0017,86.972,0.0714,0.0175,0.0714,426,442
LJ010-0147,75.550,0.2500,0.0638,0.2000,699,798
LJ021-0142,69.424,0.0000,0.0000,0.0000,328,390
LJ041-0097,91.920,0.3333,0.1875,0.1667,244,276
LJ028-0489,77.541,0.0357,0.0079,0.0357,806,825
LJ045-0082,35.511,0.0500,0.0104,0.0000,658,612
LJ009-0069,85.233,0.0000,0.0000,0.0000,510,535
LJ018-0328,40.684,0.3333,0.0794,0.0000,474,462
LJ001-0095,52.805,0.2727,0.1042,0.0000,356,361
LJ005-0037,67.379,0.0000,0.0000,0.0000,289,292
LJ031-0080,44.329,0.0833,0.0000,0.0833,790,746
LJ002-0132,63.236,0.0435,0.0270,0.0000,753,795
LJ042-0026,81.718,0.0000,0.0000,0.0000,793,845
LJ032-0209,34.707,0.0741,0.0149,0.0370,978,851
LJ028-0171,75.637,0.1111,0.0492,0.0000,480,523
LJ012-0077,67.794,0.0000,0.0000,0.0714,414,429
LJ041-0066,31.384,0.2727,0.1167,0.1818,416,354
LJ014-0322,72.289,0.0667,0.0145,0.0667,440,483
LJ015-0265,64.099,0.0000,0.0000,0.0000,108,137
LJ019-0286,67.871,0.0667,0.0286,0.0000,450,485
LJ029-0105,55.277,0.1304,0.0413,0.0435,777,762
LJ017-0100,52.173,0.0000,0.0000,0.0909,324,322
LJ040-0128,74.820,0.3077,0.0656,0.3077,446,493
LJ004-0164,40.234,0.1429,0.0412,0.0000,715,685
LJ034-0151,28.234,0.2857,0.0000,0.2857,218,203
LJ016-0002,36.487,0.0000,0.0000,0.0000,504,469
LJ003-0231,66.768,0.4286,0.1212,0.5000,463,497
LJ036-0092,67.094,0.2500,0.2391,0.4167,357,413
LJ031-0194,27.149,0.8333,0.0000,0.8333,297,259
LJ006-0040,69.326,0.0000,0.0000,0.0435,748,765
LJ042-0186,40.617,0.0000,0.0000,0.0714,495,491
LJ037-0242,44.189,0.2000,0.0778,0.2000,669,627
LJ005-0004,40.275,0.0000,0.0000,0.0000,364,342
LJ028-0376,77.214,0.0385,0.0089,0.0000,703,753
LJ033-0113,41.227,0.1818,0.0000,0.1818,319,320
LJ042-0057,67.948,0.0000,0.0000,0.0000,744,736
LJ004-0188,29.790,0.0000,0.0000,0.0833,422,349
LJ014-0333,38.187,0.0000,0.0000,0.0000,828,759
LJ029-0198,43.297,0.1667,0.0571,0.0556,699,652
LJ030-0253,40.786,0.0000,0.0000,0.0000,487,441
LJ002-0054,61.269,0.0000,0.0000,0.0000,665,664
LJ007-0149,32.812,0.0000,0.0000,0.0000,163,143
LJ045-0138,32.202,0.0000,0.0000,0.0000,641,570
LJ011-0092,41.299,0.0345,0.0079,0.0000,880,843
LJ006-0078,69.158,0.2308,0.0441,0.1538,485,512
LJ009-0147,48.582,0.0000,0.0000,0.0000,640,639
LJ028-0337,82.703,0.1333,0.0769,0.0667,536,592
LJ038-0210,71.548,0.0000,0.0000,0.0476,598,628
LJ029-0157,30.841,0.2917,0.0551,0.2917,823,793
LJ039-0026,36.522,0.0968,0.0238,0.0968,845,798
LJ040-0189,75.343,0.1250,0.0562,0.1875,654,693
LJ019-0136,36.458,0.0400,0.0229,0.0000,883,828
LJ002-0074,41.925,0.0400,0.0328,0.0400,846,840
LJ050-0102,67.487,0.6000,0.1167,0.4000,438,517
LJ002-0320,38.930,0.0000,0.0000,0.0000,585,562
LJ002-0100,67.411,0.2000,0.0781,0.0000,462,471
LJ014-0115,31.545,0.0000,0.0000,0.0000,241,219
LJ019-0276,41.597,0.0909,0.0357,0.0000,415,404
LJ048-0255,39.998,0.0435,0.0156,0.0435,853,816
LJ006-0195,35.316,0.0714,0.0000,0.0714,870,799
LJ005-0257,33.554,0.0000,0.0000,0.0000,577,543
LJ044-0042,61.844,0.1429,0.0556,0.0000,178,187
LJ042-0127,59.221,0.5000,0.0968,0.4167,488,495
LJ003-0050,64.284,0.2500,0.0476,0.0000,142,211
LJ036-0145,55.503,0.4286,0.1351,0.1429,269,297
LJ006-0068,59.805,0.0455,0.0091,0.0000,792,845
LJ001-0123,52.778,0.1538,0.1400,0.0769,320,317
LJ007-0189,32.109,0.0000,0.0000,0.0000,666,578
LJ027-0142,74.490,0.0500,0.0099,0.0000,720,755
LJ049-0158,44.646,0.2500,0.0083,0.2500,818,783
