utt_id,mcd_dtw,wer,cer,gt_wer,gen_len_frames,ref_len_frames
LJ003-0150,83.163,0.0476,0.0357,0.0000,548,651
LJ028-0353,56.804,0.1818,0.0606,0.0909,753,755
LJ049-0174,51.028,0.1667,0.0000,0.1667,689,672
LJ050-0184,39.946,0.0000,0.0000,0.0000,296,283
LJ017-0065,37.779,0.1250,0.0833,0.0625,491,475
LJ009-0246,66.218,0.0000,0.0000,0.0000,348,409
LJ016-0037,66.911,0.0000,0.0000,0.0000,644,670
LJ010-0315,53.162,0.0000,0.0000,0.0000,452,492
LJ003-0136,70.832,0.0000,0.0000,0.0000,687,801
LJ041-0179,40.247,0.0000,0.0000,0.0400,793,774
LJ016-0121,63.524,0.0800,0.0594,0.0800,703,703
LJ025-0082,60.008,0.0588,0.0250,0.0000,547,532
LJ003-0126,68.678,0.0000,0.0000,0.0000,459,498
LJ028-0183,71.468,0.0625,0.0154,0.0625,498,521
LJ017-0149,72.057,0.1579,0.0128,0.2105,576,595
LJ042-0110,73.271,0.2143,0.0938,0.2143,504,568
LJ009-0027,39.030,0.0000,0.0000,0.0000,136,130
LJ032-0201,61.657,0.0000,0.0000,0.0000,477,483
LJ007-0091,32.790,0.0556,0.0274,0.0556,521,482
LJ049-0039,40.026,0.0667,0.0132,0.0000,517,500
LJ019-0138,35.527,0.0000,0.0000,0.0000,768,703
LJ002-0260,59.267,0.0000,0.0000,0.0000,406,427
LJ009-0077,33.877,0.0000,0.0000,0.0000,475,432
LJ013-0028,72.148,0.0455,0.0455,0.0000,686,747
LJ034-0166,33.406,0.0526,0.0111,0.0000,606,557
LJ005-0116,50.015,0.0000,0.0000,0.0000,345,340
LJ010-0097,46.896,0.0000,0.0000,0.0000,754,735
LJ030-0146,55.338,0.1579,0.0213,0.2105,691,678
LJ037-0014,35.021,0.0769,0.0312,0.0769,442,423
LJ005-0131,42.489,0.0000,0.0000,0.0000,846,772
LJ004-0017,88.422,0.0000,0.0000,0.0714,420,442
LJ010-0147,75.522,0.3000,0.0426,0.2000,707,798
LJ021-0142,68.840,0.0000,0.0000,0.0000,322,390
LJ041-0097,84.000,0.3333,0.1875,0.1667,248,276
LJ028-0489,75.226,0.0357,0.0079,0.0357,817,825
LJ045-0082,33.150,0.0000,0.0000,0.0000,669,612
LJ009-0069,85.521,0.0000,0.0000,0.0000,508,535
LJ018-0328,42.044,0.0000,0.0000,0.0000,481,462
LJ001-0095,54.347,0.1818,0.0625,0.0000,364,361
LJ005-0037,65.480,0.0000,0.0000,0.0000,289,292
LJ031-0080,44.454,0.0833,0.0000,0.0833,797,746
LJ002-0132,65.385,0.0435,0.0180,0.0000,743,795
LJ042-0026,79.786,0.0000,0.0000,0.0000,793,845
LJ032-0209,34.666,0.0741,0.0149,0.0370,977,851
LJ028-0171,73.894,0.0556,0.0164,0.0000,484,523
LJ012-0077,63.469,0.0714,0.0820,0.0714,411,429
LJ041-0066,30.975,0.1818,0.1000,0.1818,413,354
LJ014-0322,74.691,0.0667,0.0145,0.0667,436,483
LJ015-0265,60.078,0.0000,0.0000,0.0000,111,137
LJ019-0286,69.128,0.0000,0.0000,0.0000,452,485
LJ029-0105,51.516,0.1304,0.0413,0.0435,780,762
LJ017-0100,50.934,0.0000,0.0000,0.0909,323,322
LJ040-0128,71.336,0.3846,0.0820,0.3077,445,493
LJ004-0164,38.511,0.0000,0.0000,0.0000,707,685
LJ034-0151,30.128,0.2857,0.0000,0.2857,216,203
LJ016-0002,39.506,0.0714,0.0141,0.0000,501,469
LJ003-0231,64.092,0.4286,0.1061,0.5000,473,497
LJ036-0092,66.501,0.2500,0.0870,0.4167,367,413
LJ031-0194,26.258,0.8333,0.0000,0.8333,300,259
LJ006-0040,69.524,0.0435,0.0180,0.0435,748,765
LJ042-0186,38.295,0.0000,0.0000,0.0714,494,491
LJ037-0242,43.325,0.2667,0.1222,0.2000,678,627
LJ005-0004,40.019,0.0000,0.0000,0.0000,364,342
LJ028-0376,77.666,0.0000,0.0000,0.0000,712,753
LJ033-0113,37.816,0.2727,0.0200,0.1818,324,320
LJ042-0057,80.469,0.0000,0.0000,0.0000,731,736
LJ004-0188,29.238,0.0000,0.0000,0.0833,419,349
LJ014-0333,39.056,0.0741,0.0236,0.0000,825,759
LJ029-0198,42.239,0.1111,0.0571,0.0556,695,652
LJ030-0253,42.049,0.0000,0.0000,0.0000,485,441
LJ002-0054,65.680,0.0000,0.0000,0.0000,661,664
LJ007-0149,29.530,0.0000,0.0000,0.0000,163,143
LJ045-0138,32.155,0.0000,0.0000,0.0000,633,570
LJ011-0092,45.878,0.0000,0.0000,0.0000,884,843
LJ006-0078,73.416,0.1538,0.0000,0.1538,489,512
LJ009-0147,47.327,0.0000,0.0000,0.0000,645,639
LJ028-0337,81.594,0.0667,0.0513,0.0667,541,592
LJ038-0210,72.038,0.0000,0.0000,0.0476,598,628
LJ029-0157,29.156,0.3333,0.0709,0.2917,833,793
LJ039-0026,35.180,0.0968,0.0079,0.0968,846,798
LJ040-0189,75.253,0.2500,0.1011,0.1875,659,693
LJ019-0136,35.990,0.0400,0.0153,0.0000,883,828
LJ002-0074,39.064,0.0400,0.0164,0.0400,855,840
LJ050-0102,75.513,0.5000,0.1167,0.4000,430,517
LJ002-0320,37.784,0.0000,0.0000,0.0000,582,562
LJ002-0100,53.790,0.1333,0.0469,0.0000,473,471
LJ014-0115,29.369,0.0000,0.0000,0.0000,243,219
LJ019-0276,43.628,0.0000,0.0000,0.0000,414,404
LJ048-0255,42.022,0.0435,0.0156,0.0435,853,816
LJ006-0195,36.906,0.0714,0.0000,0.0714,866,799
LJ005-0257,34.704,0.0000,0.0000,0.0000,586,543
LJ044-0042,59.053,0.0000,0.0000,0.0000,178,187
LJ042-0127,52.742,0.4167,0.0323,0.4167,487,495
LJ003-0050,67.007,0.0000,0.0000,0.0000,143,211
LJ036-0145,54.721,0.2857,0.1351,0.1429,266,297
LJ006-0068,63.486,0.0455,0.0091,0.0000,795,845
LJ001-0123,50.991,0.0769,0.0800,0.0769,321,317
LJ007-0189,30.688,0.0000,0.0000,0.0000,662,578
LJ027-0142,76.934,0.0500,0.0198,0.0000,722,755
LJ049-0158,47.000,0.2500,0.0083,0.2500,815,783
